gvkey,fyear,anchored_demand_strength_pricing_power,anchored_innovation_intensity,anchored_unit_economics_profit_quality
100004,1975,,,
100006,2004,0.9455219835818888,0.5783171533670463,1.7713530218229898
100007,2022,0.07520634051386217,0.75196531679288,0.08771231732155958
100008,1989,0.08382267978806164,-0.46217441470643883,-0.7561042575555671
100008,1994,-0.835738966964873,0.010568204624858598,-0.640441446062524
100009,1991,0.09849424641064004,0.6665983291435443,1.1214017379588896
100013,2009,0.9997355345415285,-0.5507328037078295,-0.5227561182826416
100014,2017,-0.7702033823872388,0.8063489211695494,0.31341759441168504
100018,2005,0.26665940818458317,-0.9359588426976696,-0.9248757835780371
100019,2019,-0.6055828963953876,-1.1711726956014181,1.7910485257475137
100020,1988,-1.1512372220249503,1.0680884525626064,0.041319282997677696
100020,2000,0.6896107739253344,1.4370758264150807,1.476771811941984
100023,1990,-0.30640403190426696,0.07156034447641385,-0.01567898694939801
100023,2003,0.4693288184930362,-0.1584086840453315,-0.3862882403451111
100023,2005,0.5058720047021693,0.6177751286479412,0.6833850887238343
100026,1999,-1.2672979502160993,0.2076891198130376,-0.7841727098181733
100026,2014,0.020108763173477984,1.0720057262105411,-1.035500404907914
100027,1993,0.1944912672924705,0.5353886715893201,-0.1555886964330174
100027,2018,-0.09984334873179486,-0.6763814997424554,1.0233924655789062
100030,2006,-0.35171577611148913,-0.30712432623544683,-1.2007348918383418
100032,2014,0.10731658546591394,0.40293787553677324,0.11251930847145712
100033,1985,,0.17986141550985618,1.3287073538506646
100033,1988,-0.3303648435139996,0.9375056636806258,-0.15549466526497077
100033,1993,-0.34450605631440107,1.1482517300267008,-0.056929576141383276
100033,2013,0.5917769568030816,-0.48600864833637436,1.3367248789929604
100034,2008,-0.022111318515026023,0.12395995770979944,0.0893957020666894
100034,2012,0.27785991226336476,0.06813833885878491,-0.05069193676699399
100035,2001,-0.04413659902178707,0.7770642359915492,-0.31732846258144226
100036,2000,-0.5474689665989907,0.2561306195427692,-0.21882463310060796
100037,2009,0.3745420227290062,1.166924052845035,1.1600728656031307
100039,2004,-1.3266762785420574,0.7559975304295291,-1.0097930367907089
100041,2012,-0.6525211803988583,0.05803468403709345,-0.14552775368219906
100041,2013,-0.10912659381230595,-0.11873223441212295,1.3316622556374902
100041,2014,-0.22149616150186077,0.04324989912601943,0.07332384344727756
100043,2009,0.4160028212175247,0.14121556977907723,-0.06512688409296748
100044,2006,-0.1083969666018915,0.5011665376606191,-0.07354296826778668
100046,1988,0.19426576125298353,-0.003027348675524788,-0.7858232673912088
