scenario,horizon_months,signal,signal_label,weighting,industry_neutral,delay_months,cost_scenario,months,first_month,last_month,mean_monthly_gross_capacity_return,annualized_gross_capacity_return,annualized_gross_capacity_sharpe,mean_monthly_net_return,annualized_net_return,annualized_net_sharpe,net_maximum_drawdown,net_hit_rate,average_turnover,average_costed_turnover,annualized_transaction_cost,annualized_borrow_cost,average_capacity_fill_ratio,average_long_gross_exposure,average_short_gross_exposure,net_factor_alpha_monthly,net_factor_alpha_hac_standard_error,net_factor_alpha_t_stat,net_factor_alpha_p_value,net_factor_r_squared
null_alpha,6,migration_surprise,migration_surprise,equal,False,0,conservative,143,2002-04-30,2019-12-31,0.0010681146915436,0.0128173762985243,0.2385075353673323,-0.0084234793763029,-0.1010817525156358,-1.8303147931493828,-0.7131387955625557,0.2307692307692307,0.6179234820946137,0.6164176867935062,0.0840998092973477,0.0297993195168124,0.8942074002593534,0.8956985936234193,0.8927162068952877,-0.0097376924050924,0.0016906640436705,-5.759685043014902,8.427103059580918e-09,0.0775830565291177
null_alpha,6,migration_surprise,migration_surprise,equal,False,0,low,143,2002-04-30,2019-12-31,0.0010681146915436,0.0128173762985243,0.2385075353673323,-0.0049193206555801,-0.0590318478669619,-1.0959587946108134,-0.5480073215548796,0.3286713286713286,0.6179234820946137,0.6164176867935062,0.0420499046486738,0.0297993195168124,0.8942074002593534,0.8956985936234193,0.8927162068952877,-0.0062438560471275,0.0016101799386217,-3.877738069741501,0.000105432138546,0.0814578145837652
null_alpha,6,migration_surprise,migration_surprise,equal,False,0,severe,143,2002-04-30,2019-12-31,0.0010681146915436,0.0128173762985243,0.2385075353673323,-0.0131604734706128,-0.1579256816473537,-2.677815619992577,-0.8509056220201843,0.1678321678321678,0.6179234820946137,0.6164176867935062,0.1409437384290656,0.0297993195168124,0.8942074002593534,0.8956985936234193,0.8927162068952877,-0.0144616071804336,0.0018353651747545,-7.879416793645931,3.2891263539282707e-15,0.0703724499826281
null_alpha,6,migration_surprise,migration_surprise,equal,False,1,conservative,143,2002-05-31,2020-01-31,0.000441849734255,0.0053021968110605,0.0971757674914838,-0.0089810347864325,-0.1077724174371903,-1.8799314530141304,-0.7327354775900304,0.2307692307692307,0.6147373952892126,0.6130419807182743,0.0834978008713963,0.0295768133768546,0.8911054937395199,0.8929930708432116,0.8892179166358284,-0.0101762391109725,0.0017088582509388,-5.954993110389147,2.600827868486325e-09,0.0645429615197441
null_alpha,6,migration_surprise,migration_surprise,equal,False,1,low,143,2002-05-31,2020-01-31,0.000441849734255,0.0053021968110605,0.0971757674914838,-0.0055019597501243,-0.0660235170014922,-1.1916241978706672,-0.5810210100612088,0.3076923076923077,0.6147373952892126,0.6130419807182743,0.0417489004356981,0.0295768133768546,0.8911054937395199,0.8929930708432116,0.8892179166358284,-0.0067299690690684,0.0016394747730823,-4.104954330230732,4.043947636454696e-05,0.069873143181244
null_alpha,6,migration_surprise,migration_surprise,equal,False,1,severe,143,2002-05-31,2020-01-31,0.000441849734255,0.0053021968110605,0.0971757674914838,-0.0136861937841772,-0.1642343254101271,-2.6638937964806453,-0.8616655710201702,0.1958041958041958,0.6147373952892126,0.6130419807182743,0.139959708844333,0.0295768133768546,0.8911054937395199,0.8929930708432116,0.8892179166358284,-0.0148378581435971,0.0018393585090204,-8.066865741958537,7.212578752385763e-16,0.0560504906676048
null_alpha,6,migration_surprise,migration_surprise,equal,True,0,conservative,143,2002-04-30,2019-12-31,0.0007195186593313,0.0086342239119763,0.1721262263171532,-0.0083293891922333,-0.0999526703068006,-1.903097923618572,-0.7159739060950436,0.2727272727272727,0.5898007482318376,0.5884702560183876,0.0801945725779611,0.0283923216408158,0.8576407710971123,0.8644782470462052,0.8508032951480193,-0.0091581954867205,0.0016042190372659,-5.708818605175652,1.1376305678364397e-08,0.0624788466293553
null_alpha,6,migration_surprise,migration_surprise,equal,True,0,low,143,2002-04-30,2019-12-31,0.0007195186593313,0.0086342239119763,0.1721262263171532,-0.0049879486681516,-0.05985538401782,-1.1799759502769518,-0.5638664945772316,0.3426573426573426,0.5898007482318376,0.5884702560183876,0.0400972862889805,0.0283923216408158,0.8576407710971123,0.8644782470462052,0.8508032951480193,-0.0058244073295998,0.001530438518769,-3.805711407658957,0.0001413971782507,0.0653205081506672
null_alpha,6,migration_surprise,migration_surprise,equal,True,0,severe,143,2002-04-30,2019-12-31,0.0007195186593313,0.0086342239119763,0.1721262263171532,-0.0128477702283518,-0.1541732427402224,-2.721772500366806,-0.845742681360032,0.2097902097902098,0.5898007482318376,0.5884702560183876,0.1344151450113829,0.0283923216408158,0.8576407710971123,0.8644782470462052,0.8508032951480193,-0.013666970177831,0.0017379498855669,-7.863845955128339,3.7251560723380755e-15,0.0576526118870791
null_alpha,6,migration_surprise,migration_surprise,equal,True,1,conservative,143,2002-05-31,2020-01-31,0.0008490514099658,0.0101886169195907,0.1884445242367007,-0.0081516047249794,-0.0978192566997535,-1.7417157213712746,-0.7080527701842578,0.3006993006993007,0.5879669355987402,0.5863408716393822,0.0797948914270003,0.0282129821923439,0.8553287170409206,0.8623410125182848,0.8483164215635567,-0.0091162843826787,0.0016768424395908,-5.436577800895265,5.4313629311510544e-08,0.0506198484955227
